"OBJECTID","Name","Yr_Final","Area_sqm","Measure.var","value","forest.yr","Area_ha","value.ha"
1,"Caño Bodegas",2002,19730226.2612288,"Forest1990",12898101.1425,1990,1973.02262612288,1289.81011425
3,"San Nicolás",2003,302874.21117284,"Forest1990",0,1990,30.287421117284,0
19,"Pueblo Nuevo",2002,2107853.544427,"Forest1990",1514371.05586,1990,210.7853544427,151.437105586
124,"Nueva Esperanza",2012,15837207.5842526,"Forest1990",14515317.3355,1990,1583.72075842526,1451.53173355
127,"Alejandro",2011,229278.60845814,"Forest1990",0,1990,22.927860845814,0
130,"Piedras Bachichi",2007,141530.005221,"Forest1990",66990.8691379,1990,14.1530005221,6.69908691379
131,"De Alto Rio Dagua",2005,28496594.78457,"Forest1990",17684645.919,1990,2849.659478457,1768.4645919
156,"Embera Drua",2003,90579.2033414,"Forest1990",0,1990,9.05792033414,0
157,"Hermeregildo Chakiama",2000,589708.3550876,"Forest1990",40571.93483,1990,58.97083550876,4.057193483
160,"Dokerazavi",2001,7391640.40601,"Forest1990",2371099.35414,1990,739.164040601,237.109935414
161,"Bernardino Panchi",2006,223617.40824912,"Forest1990",67934.4025061,1990,22.361740824912,6.79344025061
162,"Cananama",2000,16380682.804311,"Forest1990",141530.005221,1990,1638.0682804311,14.1530005221
164,"Calderas",2001,11585646.2273851,"Forest1990",8385181.04266,1990,1158.56462273851,838.518104266
165,"La Cilia O La Calera",2003,398171.081355,"Forest1990",137755.871748,1990,39.8171081355,13.7755871748
166,"Polindara",2003,22892950.111139,"Forest1990",911453.233623,1990,2289.2950111139,91.1453233623
167,"Las Mercedes",2003,59442.6021928,"Forest1990",13209.467154,1990,5.94426021928,1.3209467154
168,"Musse Ukwe",2006,2918348.7076595,"Forest1990",166061.872793,1990,291.83487076595,16.6061872793
169,"La Bonanza",2006,1021846.6377002,"Forest1990",158513.605848,1990,102.18466377002,15.8513605848
171,"El Rosarío, Bellavista Y Yukatán",2000,821817.56365,"Forest1990",122659.337858,1990,82.181756365,12.2659337858
172,"Caño Padilla",2000,726520.693468,"Forest1990",285890.610546,1990,72.6520693468,28.5890610546
173,"Kankuamo",2003,254751178.797449,"Forest1990",20612429.9604,1990,25475.1178797449,2061.24299604
178,"Pueblo Nuevo",2000,1821019.40051,"Forest1990",122659.337858,1990,182.101940051,12.2659337858
181,"Lomas De Hilarco",2000,4064741.74995,"Forest1990",4717.6668407,1990,406.474174995,0.47176668407
185,"Chidima Tolo",2001,41022000.2466012,"Forest1990",39432146.5213,1990,4102.20002466012,3943.21465213
197,"La Reforma",2001,1244520.5125816,"Forest1990",96240.4035503,1990,124.45205125816,9.62404035503
200,"San Agustin",2001,1704021.26286,"Forest1990",30193.0677805,1990,170.402126286,3.01930677805
202,"Llano Buco Bukj Ukue",2005,4159095.08676,"Forest1990",3289157.32134,1990,415.909508676,328.915732134
210,"Planadas Telembí",2007,27207728.20367,"Forest1990",25807524.6854,1990,2720.772820367,2580.75246854
211,"Quebrada Grande",2006,5858398.682785,"Forest1990",5697998.0102,1990,585.8398682785,569.79980102
214,"Honda Río Guiza",2003,2957033.57575356,"Forest1990",2888155.63988,1990,295.703357575356,288.815563988
221,"Cocana",2003,1337930.31602,"Forest1990",0,1990,133.793031602,0
222,"Palermo",2001,1303019.5814049,"Forest1990",0,1990,130.30195814049,0
223,"Mesa De Ortega",2000,4425171.496578,"Forest1990",0,1990,442.5171496578,0
225,"Diamante",2000,2183336.21388,"Forest1990",72652.0693468,1990,218.333621388,7.26520693468
228,"Floral Tradicional",2007,995427.703388,"Forest1990",0,1990,99.5427703388,0
229,"Doxura",2001,1015241.90412,"Forest1990",0,1990,101.524190412,0
230,"Kwes Kiwe Nasa",2000,260415.209607,"Forest1990",6604.73357698,1990,26.0415209607,0.660473357698
233,"Punta Bandera",2002,30879960.072467,"Forest1990",7803964.48789,1990,3087.9960072467,780.396448789
234,"Piaroa De Cachicamo",2005,159576024.4206,"Forest1990",35901444.6577,1990,15957.60244206,3590.14446577
238,"Pickwe Tha Fiw",2003,7052911.9268479,"Forest1990",1102046.97399,1990,705.29119268479,110.204697399
239,"Chaquira",2000,5382857.865239,"Forest1990",2305052.01837,1990,538.2857865239,230.505201837
241,"Rincón Bodega",2000,815212.830073,"Forest1990",0,1990,81.5212830073,0
242,"Barzaloza",2001,632167.356654,"Forest1990",16040.0672584,1990,63.2167356654,1.60400672584
245,"La Laguna-el Coso-cinco Caminos",2009,1102046.97398842,"Forest1990",208520.874359,1990,110.204697398842,20.8520874359
248,"Escopetera - Pirza",2003,4625200.570619,"Forest1990",144360.605325,1990,462.5200570619,14.4360605325
250,"Rodeito El Pozo",2003,711424.159578,"Forest1990",0,1990,71.1424159578,0
251,"Cerro De Hatonuevo",2001,756713.761248,"Forest1990",0,1990,75.6713761248,0
253,"Zanja Honda",2010,2024822.60802512,"Forest1990",83030.9363963,1990,202.482260802512,8.30309363963
256,"Rincón Velú",2010,651981.557385,"Forest1990",0,1990,65.1981557385,0
260,"Cerrodeo",2002,15688129.312083,"Forest1990",341559.079267,1990,1568.8129312083,34.1559079267
263,"Lomas De Guaguarco",2012,1218101.57827,"Forest1990",0,1990,121.810157827,0
266,"San Andres De Sotavento",2003,89915899.38361,"Forest1990",617070.822764,1990,8991.589938361,61.7070822764
267,"Canime",2007,200972.60741428,"Forest1990",0,1990,20.097260741428,0
268,"Cxayu'ce Fiw",2007,2473944.49126,"Forest1990",183045.473419,1990,247.394449126,18.3045473419
269,"Rumiyaco",2002,2356946.353612,"Forest1990",532152.819631,1990,235.6946353612,53.2152819631
270,"Guaipa Uno",2001,7116128.66250714,"Forest1990",0,1990,711.612866250714,0
272,"Balsillas",2006,1389824.65127,"Forest1990",0,1990,138.982465127,0
273,"Paez De Toez",2003,5084701.32091,"Forest1990",0,1990,508.470132091,0
274,"Beltran",2006,1768181.531896,"Forest1990",297213.010964,1990,176.8181531896,29.7213010964
276,"Nueva Esperanza Del Tomo",2002,92492689.0120279,"Forest1990",9861810.7638,1990,9249.26890120279,986.18107638
277,"Zaragoza Tamarindo",2000,789737.429133,"Forest1990",0,1990,78.9737429133,0
278,"Quebraditas",2001,503846.818587,"Forest1990",0,1990,50.3846818587,0
279,"Mercadillo",2001,707650.026105,"Forest1990",0,1990,70.7650026105,0
282,"La Delfina",2007,7855858.823134,"Forest1990",7257658.66773,1990,785.5858823134,725.765866773
