"Name","intercept.before","slope.before","intercept.after","slope.after"
"Caño Bodegas",70067.4483918974,-34.5616272751997,46340.5596583113,-22.7106287716497
"San Nicolás",0,0,-73.2526005694663,0.0366312954614161
"Pueblo Nuevo",1527.6276996516,-0.7265206934501,6246.20598549521,-3.07284434639339
"Nueva Esperanza",9633.07928263671,-4.10896528168832,29975.3678092414,-14.2203958297141
"Alejandro",-7.5293962777572,0.00377413347256,0.0943533404466279,-1.80745737153692e-12
"De Alto Rio Dagua",16733.1868704598,-7.51996094399992,17869.0473420304,-7.80241222371028
"Embera Drua",0,0,1.22659341148635,-1.63920774202538e-11
"Hermeregildo Chakiama",-108.600690674109,0.0566120020889997,3.11366019799225,-4.14117736139749e-11
"Dokerazavi",4029.92536877695,-1.90593740369997,-313.110224657332,0.302180066237846
"Bernardino Panchi",60.4130936577669,-0.0269580962328591,0.754826724117672,-1.47298566001376e-11
"Cananama",558.666107274494,-0.273624676759997,-560.325615541507,0.285835108372945
"Calderas",23144.7791671308,-11.2091764134999,31281.6458437982,-15.2616522437109
"La Cilia O La Calera",2417.14378249263,-1.20772271121499,276.065688893334,-0.136964521181452
"Polindara",12521.0652085514,-6.24619089707995,107.87474186431,-0.0405126998939382
"Las Mercedes",264.189343079998,-0.132094671539999,0,0
"Musse Ukwe",2268.4429236875,-1.13224004177065,1.03788674561022,-2.02298822619924e-11
"La Bonanza",3057.61423280406,-1.52852405639159,18.4544824452839,-0.0084050386538506
"El Rosarío, Bellavista Y Yukatán",12.265933785799,5.02429586778804e-16,-59.7600730412689,0.0366312952801969
"Caño Padilla",47.365375077799,-0.00943533367999949,199.606149825531,-0.0854730231278435
"Kankuamo",-10274.7953196699,6.19901422899995,32908.0221336395,-15.2380638900097
"Lomas De Hilarco",94.3533368139992,-0.0471766684069996,0,0
"La Reforma",9.62404035503,0,669.12146872947,-0.330844103784089
"San Agustin",603.861355609995,-0.301930677804998,0,0
"Llano Buco Bukj Ukue",18804.8087337088,-9.28436834249992,44.9750546463368,0.0629022423333316
"Planadas Telembí",5284.54168804013,-1.35868805000007,19505.8065655539,-8.53897684099993
"Quebrada Grande",3156.92785932451,-1.29938023841444,-1205.80831384181,0.869043882815788
"Honda Río Guiza",1753.36805811598,-0.735956027199989,2010.28682725248,-0.88152975908571
"Cocana",0,0,0,0
"Palermo",0,0,-551.072328720932,0.274179696388858
"Mesa De Ortega",0,0,-1439.63544272373,0.717640379360184
"Diamante",176.252033169348,-0.0849180031329992,0,0
"Floral Tradicional",0,0,0,0
"Doxura",0,0,0,0
"Kwes Kiwe Nasa",132.094671539599,-0.0660473357697995,14.3575884504389,-0.00712320983373002
"Punta Bandera",14318.1188615459,-6.80287558429994,2745.04369916921,-1.09526150159242
"Piaroa De Cachicamo",42247.4883425961,-19.4260041448588,28529.5957890551,-12.6863018142419
"Pickwe Tha Fiw",15844.7558512285,-7.90680962503994,2861.08690318098,-1.41782737376022
"Chaquira",18349.6482370109,-9.10509700259993,334.774587546819,-0.15047730501437
"Rincón Bodega",0,0,0,0
"Barzaloza",1.60400672583994,3.14018491736752e-17,0,0
"La Laguna-el Coso-cinco Caminos",707.353487041267,-0.345063631774312,304.249784540157,-0.144012988283757
"Escopetera - Pirza",89.5413166252999,-0.03774133472,28.9664708080833,1.77999837092102e-09
"Rodeito El Pozo",0,0,0,0
"Cerro De Hatonuevo",0,0,0,0
"Zanja Honda",779.520310660829,-0.388196585748926,0.754826723598032,-1.44721023532982e-11
"Rincón Velú",0,0,0,0
"Cerrodeo",6831.18158533994,-3.41559079266997,-4772.07393348541,2.39231960393121
"Lomas De Guaguarco",0,0,0,0
"San Andres De Sotavento",2746.71998799198,-1.34925271643999,-408.219224624708,0.216429045413928
"Canime",0,0,-27.2816708531532,0.013556513910056
"Cxayu'ce Fiw",2608.2092895473,-1.30207604803215,0,0
"Rumiyaco",-21.8899741495967,0.0377413347299983,160.429998867136,-0.0726775703716319
"Guaipa Uno",0,0,0,0
"Balsillas",0,0,0,0
"Paez De Toez",0,0,0,0
"Beltran",872.323556941848,-0.423242110851467,658.057587375193,-0.320475989060623
"Nueva Esperanza Del Tomo",6299.87794566188,-2.67019943179994,18395.9245937682,-8.70476931765721
"Zaragoza Tamarindo",0,0,0,0
"Quebraditas",0,0,0,0
"Mercadillo",0,0,0,0
"La Delfina",12066.6595383379,-5.69894154349993,1474.6543883135,-0.368282379145207
"Menche San Cayetano",10.8365293694482,-0.00486357406288687,1.03788657573399,6.40000052953837e-11
"Chenche Buenavista",1222.69011721652,-0.60332636246194,8.58615257999955,5.30000221488081e-10
"Chenche Balsillas",0,0,-28.2601194215919,0.0140604972507135
"Muisca De Fonquetá Y Cerca De Piedra",0.0943533368140027,-1.3141816580321e-18,0.0943533250634255,5.81999726190219e-12
"Maguare",188.266114877349,-0.0936238007045391,0,0
"Velu Centro",0,0,0,0
"Resguardo Indigena Mesas De San Juan",0,0,-951.238890647122,0.47176668407032
"Resguardo Indigena Anaba",0,0,0,0
"Resguardo Indigena Aco Viejo Patio Bonito",1978.40446546327,-0.977393582563453,11.8570693251705,-3.49345572057318e-14
